City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,fauske,67.2588,15.3918,15.53,61,42,0.14,NO,1688968796
84,beni mellal,32.3373,-6.3498,28.6,23,6,2.4,MA,1688968796
85,el alto,-4.2714,-81.2147,21.51,80,14,7.76,PE,1688968796
86,klyuchi,52.2667,79.1667,26.12,36,69,3.96,RU,1688968797
87,port lincoln,-34.7333,135.8667,15.83,66,21,7.84,AU,1688968797
88,la passe,45.5549,-0.8967,18.13,84,0,1.46,FR,1688968797
89,yellowknife,62.456,-114.3525,15.31,51,75,5.36,CA,1688968798
90,chonchi,-42.6128,-73.8092,3.95,91,33,0.79,CL,1688968798
91,nueve de julio,-35.4444,-60.8831,4.42,99,2,0.89,AR,1688968799
92,isafjordur,66.0755,-23.124,11.98,65,34,1.15,IS,1688968800
93,guiping,23.3925,110.0814,32.35,64,100,2.97,CN,1688968800
94,upington,-28.4478,21.2561,2.21,80,0,2.57,ZA,1688968800
95,chulakkurgan,43.765,69.1814,32.21,19,0,7.73,KZ,1688968801
96,pingliang,35.5392,106.6861,32.7,32,94,6.54,CN,1688968803
97,codrington,-38.2667,141.9667,13.88,75,84,8.29,AU,1688968803
98,conduaga,8.862,117.4893,29.66,70,36,2.21,PH,1688968804
99,cidreira,-30.1811,-50.2056,16.5,92,76,5.05,BR,1688968804
100,yurimaguas,-5.9,-76.0833,20.79,97,0,0.49,PE,1688968805
101,rongelap,11.1635,166.8941,28.12,80,100,7.6,MH,1688968806
102,puerto ayora,-0.7393,-90.3518,25.31,93,100,3.58,EC,1688968807
103,thompson,55.7435,-97.8558,5.97,87,56,4.26,CA,1688968809
104,al bukayriyah,26.1442,43.6593,37.26,10,1,4.06,SA,1688968809
105,dunedin,-45.8742,170.5036,8.78,81,100,0.45,NZ,1688968617
106,grytviken,-54.2811,-36.5092,-5.84,81,68,3.9,GS,1688968810
107,pariaman,-0.619,100.12,26.03,92,100,2.97,ID,1688968811
