City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,hermanus,-34.4187,19.2345,10.96,61,98,2.7,ZA,1689981512
83,hawaiian paradise park,19.5933,-154.9731,28.73,76,40,4.63,US,1689981512
84,daru,-9.0763,143.2092,25.68,76,96,6.23,PG,1689981512
85,benguela,-12.5763,13.4055,19.53,88,36,3.19,AO,1689981512
86,ubari,26.5921,12.7805,30.61,14,0,2.89,LY,1689981513
87,yellowknife,62.456,-114.3525,26.29,29,100,5.66,CA,1689981513
88,kailua-kona,19.6406,-155.9956,28.98,84,40,5.66,US,1689981513
89,haiku-pauwela,20.9219,-156.3051,30.01,55,40,11.32,US,1689981514
90,feodosiya,45.0333,35.3833,22.99,73,2,3.6,UA,1689981277
91,masterton,-40.9597,175.6575,10.49,94,100,2.68,NZ,1689981369
92,alta,69.9689,23.2717,9.59,83,100,4.47,NO,1689981515
93,urengoy,65.9667,78.3667,18.39,77,99,2.88,RU,1689981515
94,udachny,66.4167,112.4,20.25,72,82,7.34,RU,1689981516
95,posto fiscal rolim de moura,-13.0833,-62.2667,26.4,36,0,1.48,BR,1689981516
96,punta arenas,-53.15,-70.9167,-2.16,92,100,2.68,CL,1689981516
97,jining,35.405,116.5814,25.78,88,93,1.57,CN,1689981517
98,zunyi,27.6867,106.9072,21.61,96,99,0.91,CN,1689981343
99,ginir,7.1333,40.7,16.09,71,100,6.86,ET,1689981518
100,el granada,37.5027,-122.4694,36.38,65,0,8.75,US,1689981518
101,jamestown,42.097,-79.2353,22.77,72,20,5.66,US,1689981519
102,susuman,62.7833,148.1667,22.98,46,96,2.22,RU,1689981519
103,diego de almagro,-26.3667,-70.05,15.0,58,70,1.14,CL,1689981395
104,isangel,-19.55,169.2667,24.06,57,75,1.03,VU,1689981519
105,college,64.8569,-147.8028,26.16,44,20,1.54,US,1689981520
106,amungan,15.3652,119.9582,27.74,77,45,0.7,PH,1689981520
107,shirpur,21.35,74.8833,24.81,97,100,8.21,IN,1689981520
108,tarnogskiy gorodok,60.4997,43.5761,11.39,94,100,3.27,RU,1689981520
109,tadine,-21.55,167.8833,20.4,61,99,3.4,NC,1689981521
110,iaciara,-14.0958,-46.6317,22.8,51,88,3.66,BR,1689981521
111,pangody,65.85,74.4859,18.99,76,91,2.13,RU,1689981521
112,ilulissat,69.2167,-51.1,6.01,93,75,1.54,GL,1689981521
113,amahai,-3.3333,128.9167,26.11,82,70,3.9,ID,1689981485
114,petropavlovsk-kamchatsky,53.0452,158.6483,19.33,73,0,1.0,RU,1689981522
115,bilibino,68.0546,166.4372,23.68,40,37,0.97,RU,1689981522
116,yuma,32.7253,-114.6244,46.43,16,40,2.06,US,1689981522
117,nova prata,-28.7839,-51.61,17.38,90,6,2.42,BR,1689981391
118,avarua,-21.2078,-159.775,25.03,61,40,9.26,CK,1689981523
119,kismayo,-0.3582,42.5454,24.75,86,48,7.38,SO,1689981523
120,enewetak,11.3474,162.3373,28.7,77,87,6.99,MH,1689981523
121,ancud,-41.8697,-73.8203,9.15,86,100,5.93,CL,1689981335
122,west island,-12.1568,96.8225,24.99,78,40,5.66,CC,1689981329
123,agat village,13.3886,144.6585,30.06,88,75,8.23,GU,1689981524
124,bom jesus,-9.0744,-44.3586,22.98,29,2,1.94,BR,1689981524
125,georgetown,5.4112,100.3354,27.75,91,40,2.06,MY,1689981272
126,taoudenni,22.6783,-3.9836,39.26,9,29,5.23,ML,1689981525
127,libenge,3.65,18.6333,22.82,91,45,1.62,CD,1689981525
